Day,National Holiday,San Antonio Events,Six Flags Events,Date
Friday,,,Fright Fest,01-11-2024
Saturday,,,Fright Fest,02-11-2024
Sunday,,,Fright Fest,03-11-2024
Monday,,,,04-11-2024
Tuesday,,,,05-11-2024
Wednesday,,,,06-11-2024
Thursday,,,,07-11-2024
Friday,,,,08-11-2024
Saturday,,,Veterans Weekend,09-11-2024
Sunday,,,Veterans Weekend,10-11-2024
Monday,Veterans Day,,,11-11-2024
Tuesday,,,,12-11-2024
Wednesday,,,,13-11-2024
Thursday,,,,14-11-2024
Friday,,,,15-11-2024
Saturday,,,Veterans Weekend,16-11-2024
Sunday,,,Veterans Weekend,17-11-2024
Monday,,,,18-11-2024
Tuesday,,,,19-11-2024
Wednesday,,,,20-11-2024
Thursday,,,,21-11-2024
Friday,,,,22-11-2024
Saturday,,,Holiday in the Park,23-11-2024
Sunday,,,Holiday in the Park,24-11-2024
Monday,,,Holiday in the Park,25-11-2024
Tuesday,,,Holiday in the Park,26-11-2024
Wednesday,,,Holiday in the Park,27-11-2024
Thursday,Thanksgiving Day,,Holiday in the Park,28-11-2024
Friday,,,Holiday in the Park,29-11-2024
Saturday,,,Holiday in the Park,30-11-2024
Sunday,,,Holiday in the Park,01-12-2024
Monday,,,Holiday in the Park,02-12-2024
Tuesday,,,Holiday in the Park,03-12-2024
Wednesday,,,Holiday in the Park,04-12-2024
Thursday,,,Holiday in the Park,05-12-2024
Friday,,,Holiday in the Park,06-12-2024
Saturday,,,Holiday in the Park,07-12-2024
Sunday,,,Holiday in the Park,08-12-2024
Monday,,,Holiday in the Park,09-12-2024
Tuesday,,,Holiday in the Park,10-12-2024
Wednesday,,,Holiday in the Park,11-12-2024
Thursday,,,Holiday in the Park,12-12-2024
Friday,,,Holiday in the Park,13-12-2024
Saturday,,,Holiday in the Park,14-12-2024
Sunday,,,Holiday in the Park,15-12-2024
Monday,,,Holiday in the Park,16-12-2024
Tuesday,,,Holiday in the Park,17-12-2024
Wednesday,,,Holiday in the Park,18-12-2024
Thursday,,,Holiday in the Park,19-12-2024
Friday,,,Holiday in the Park,20-12-2024
Saturday,,,Holiday in the Park,21-12-2024
Sunday,,,Holiday in the Park,22-12-2024
Monday,,,Holiday in the Park,23-12-2024
Tuesday,Christmas Eve,,,24-12-2024
Wednesday,Christmas Day,,,25-12-2024
Thursday,,,Rockin' New Years Celebration,26-12-2024
Friday,,,Rockin' New Years Celebration,27-12-2024
Saturday,,,Rockin' New Years Celebration,28-12-2024
Sunday,,,Rockin' New Years Celebration,29-12-2024
Monday,,,Rockin' New Years Celebration,30-12-2024
Tuesday,New Year's Eve,,Rockin' New Years Celebration,31-12-2024
